Departamento,Año,total_actos,Poblacion,actos_per_capita,promedio_año,desviacion_pct
Quindío,2024,588730.0,556880.0,1.0571936503375952,0.48624599164925736,117.42
Quindío,2025,606086.0,557884.0,1.0864014741415777,0.5384586922773076,101.76
Risaralda,2021,917634.0,979983.0,0.9363774677724002,0.4825325455933578,94.05
Risaralda,2022,839410.0,986996.0,0.8504695054488569,0.49466079606957686,71.93
Risaralda,2023,715533.0,991338.0,0.7217851025583605,0.46865888333774874,54.01
Risaralda,2024,826840.0,997930.0,0.8285551090757869,0.48624599164925736,70.4
Risaralda,2025,1181143.0,1003225.0,1.1773460589598546,0.5384586922773076,118.65
Santander,2021,1932942.0,2319558.0,0.8333234176511215,0.4825325455933578,72.7
Santander,2022,1970422.0,2341058.0,0.8416801292407108,0.49466079606957686,70.15
Santander,2023,1761617.0,2360567.0,0.7462685871657107,0.46865888333774874,59.23
Santander,2024,1718732.0,2380650.0,0.7219591288093588,0.48624599164925736,48.48
Santander,2025,1815181.0,2398303.0,0.7568605801685608,0.5384586922773076,40.56
Sucre,2021,239772.0,972704.0,0.24650047702075864,0.4825325455933578,-48.92
Sucre,2022,203087.0,988782.0,0.2053910771029408,0.49466079606957686,-58.48
Sucre,2023,211198.0,1004176.0,0.2103197049122863,0.46865888333774874,-55.12
Sucre,2024,213043.0,1019575.0,0.20895274992030993,0.48624599164925736,-57.03
Sucre,2025,225072.0,1034102.0,0.21764970960311458,0.5384586922773076,-59.58
Tolima,2021,1068111.0,1361747.0,0.7843681682427058,0.4825325455933578,62.55
Tolima,2022,1069030.0,1368345.0,0.7812576506655851,0.49466079606957686,57.94
Tolima,2023,886094.0,1373558.0,0.6451085429228325,0.46865888333774874,37.65
Tolima,2024,867893.0,1380444.0,0.6287056917919163,0.48624599164925736,29.3
Tolima,2025,1044383.0,1386410.0,0.7533002502867118,0.5384586922773076,39.9
Valle Del Cauca,2021,3540663.0,4636501.0,0.7636497867680823,0.4825325455933578,58.26
Valle Del Cauca,2022,3468642.0,4658811.0,0.7445337447687833,0.49466079606957686,50.51
Valle Del Cauca,2023,3068382.0,4673395.0,0.6565638042579324,0.46865888333774874,40.09
Valle Del Cauca,2024,3642497.0,4693432.0,0.7760838976680604,0.48624599164925736,59.61
Valle Del Cauca,2025,3958684.0,4708393.0,0.8407717877415926,0.5384586922773076,56.14
Vaupés,2021,3399.0,42641.0,0.07971201425857742,0.4825325455933578,-83.48
Vaupés,2022,2768.0,43009.0,0.06435862261387151,0.49466079606957686,-86.99
Vaupés,2023,1011.0,43383.0,0.023304059193693383,0.46865888333774874,-95.03
Vaupés,2024,2264.0,43775.0,0.05171901770416905,0.48624599164925736,-89.36
Vaupés,2025,4246.0,44142.0,0.0961895700240134,0.5384586922773076,-82.14
Vichada,2021,9758.0,126214.0,0.07731313483448746,0.4825325455933578,-83.98
Vichada,2022,12060.0,131824.0,0.09148561718655177,0.49466079606957686,-81.51
Vichada,2023,10657.0,137429.0,0.07754549621986626,0.46865888333774874,-83.45
Vichada,2024,9613.0,143117.0,0.06716881991657175,0.48624599164925736,-86.19
Vichada,2025,12077.0,148738.0,0.0811964662695478,0.5384586922773076,-84.92
